"TIMESTAMP","RECORD","Hs","Fc_wpl","LE_wpl","Hc","tau","u_star","Ts_mean","stdev_Ts","cov_Ts_Ux","cov_Ts_Uy","cov_Ts_Uz","co2_mean","stdev_co2","cov_co2_Ux","cov_co2_Uy","cov_co2_Uz","h2o_Avg","stdev_h2o","cov_h2o_Ux","cov_h2o_Uy","cov_h2o_Uz","Ux_Avg","stdev_Ux","cov_Ux_Uy","cov_Ux_Uz","Uy_Avg","stdev_Uy","cov_Uy_Uz","Uz_Avg","stdev_Uz","press_mean","t_hmp_mean","h2o_hmp_mean","rho_a_mean","wnd_dir_compass","wnd_dir_csat3","wnd_spd","rslt_wnd_spd","std_wnd_dir","Fc_irga","LE_irga","co2_wpl_LE","co2_wpl_H","h2o_wpl_LE","h2o_wpl_H","n_Tot","csat_warnings","irga_warnings","del_T_f_Tot","sig_lck_f_Tot","amp_h_f_Tot","amp_l_f_Tot","chopper_f_Tot","detector_f_Tot","pll_f_Tot","sync_f_Tot","agc_Avg","panel_temp_Avg","batt_volt_Avg","shf_Avg(1)","shf_Avg(2)","shf_Avg(3)","shf_Avg(4)","del_Tsoil(1)","del_Tsoil(2)","soil_water_T_Avg(1)","soil_water_T_Avg(2)","soil_water_T_Avg(3)","soil_water_T_Avg(4)","soil_water_T_Avg(5)","Tsoil_avg(1)","Tsoil_avg(2)","cs616_wcr_Avg(1)","cs616_wcr_Avg(2)","cs616_wcr_Avg(3)","cs616_wcr_Avg(4)","cs616_wcr_Avg(5)"
"TS","RN","W/m^2","mg/(m^2 s)","W/m^2","W/m^2","kg/(m s^2)","m/s","C","C","m C/s","m C/s","m C/s","mg/m^3","mg/m^3","mg/(m^2 s)","mg/(m^2 s)","mg/(m^2 s)","g/m^3","g/m^3","g/(m^2 s)","g/(m^2 s)","g/(m^2 s)","m/s","m/s","(m/s)^2","(m/s)^2","m/s","m/s","(m/s)^2","m/s","m/s","kPa","C","g/m^3","kg/m^3","degrees","degrees","m/s","m/s","degrees","mg/(m^2 s)","W/m^2","mg/(m^2 s)","mg/(m^2 s)","W/m^2","W/m^2","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","unitless","C","V","W/m^2","W/m^2","W/m^2","W/m^2","C","C","frac_v_wtr","frac_v_wtr","frac_v_wtr","frac_v_wtr","frac_v_wtr","C","C","uSeconds","uSeconds","uSeconds","uSeconds","uSeconds"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Smp","Smp","Smp","Smp","Avg","Smp","Smp","Smp","Avg","Smp","Smp","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Avg","Avg","Avg","Avg","Avg"
"2007-12-01 00:40:00",6681,-22.407,0.0197768,1.502272,-22.44286,0.02689622,0.1443144,1.721415,0.2873985,0.06001225,-0.00118096,-0.01726985,794.5643,2.130877,-0.356876,-0.06577861,0.06928156,5.478499,0.03136078,-0.005644269,-0.0008182458,0.0007754899,0.655137,0.5008426,0.0280932,-0.008270012,-0.09817892,0.3097804,0.0191143,0.002379833,0.227028,101.6669,1.103701,2.569076,1.291433,8.522927,-8.522919,0.7460235,0.6624528,27.1104,0.06928156,1.892195,0.000770236,-0.05027499,0.006076612,-0.396,3000,0,0,0,0,0,0,0,0,0,0,56,-0.5167853,12.12694,-9.854176,-12.17562,-16.3647,-14.95939,-0.02056551,-0.02322769,0.3267759,0.4042054,0.3103383,0.3030609,0.3235923,5.890283,5.480806,28.62026,30.8135,28.12847,27.90745,28.5258
"2007-12-01 00:45:00",6682,-13.67966,0.03418635,2.577104,-13.79495,0.0120451,0.09658449,1.759839,0.262099,0.02663838,-0.003333683,-0.01054523,797.2082,3.279972,-0.584634,-0.0639529,0.06404923,5.491092,0.0429344,-0.002881491,0.0006219252,0.001152002,0.4929972,0.49942,0.05943081,-0.003020941,-0.3042063,0.2890683,0.008825873,-0.02811917,0.2180233,101.6501,1.104881,2.580149,1.291207,31.67686,-31.67685,0.7025847,0.5792993,33.93059,0.06404923,2.810885,0.001148216,-0.0310111,0.009067474,-0.2428483,3000,0,0,0,0,0,0,0,0,0,0,56,-0.622501,12.12372,-10.03951,-12.35183,-16.50573,-15.0931,-0.01800823,-0.0210619,0.3267466,0.4042158,0.310282,0.3030205,0.3235607,5.872274,5.459744,28.61939,30.81379,28.12677,27.90621,28.52486
"2007-12-01 00:50:00",6683,-7.276465,-0.03049174,-1.866357,-7.155282,0.02861018,0.1488499,1.617035,0.3251897,0.02587907,-0.03103411,-0.005608842,800.9654,2.948578,-0.2618635,0.2159179,-0.0136202,5.525518,0.05766716,-0.004925721,0.005193622,-0.0007093583,0.4731364,0.3401098,0.0217533,-0.01503013,-0.2467868,0.3355474,-0.01627869,0.007484667,0.210956,101.6506,1.086764,2.594726,1.29129,27.54644,-27.54645,0.6268634,0.5336308,31.23794,-0.0136202,-1.730834,-0.000710321,-0.01616122,-0.005614643,-0.1299078,3000,0,0,0,0,0,0,0,0,0,0,56,-0.7329448,12.12038,-10.2188,-12.52472,-16.65922,-15.22351,-0.02031803,-0.02080345,0.3267189,0.4042294,0.3101354,0.3029474,0.3235317,5.851956,5.438941,28.61857,30.81416,28.12234,27.90398,28.524
"2007-12-01 00:55:00",6684,-9.126734,0.01170817,6.037807,-9.459319,0.01619537,0.1119591,1.334853,0.4460643,0.03353477,-0.07004387,-0.007031038,805.6979,4.154445,-0.2109331,0.7269878,0.03065079,5.611725,0.1222555,-0.005945692,0.02228898,0.002534699,0.3393932,0.3155304,-0.02223357,-0.007298233,-0.16787,0.3856408,-0.01019106,0.03853058,0.2100871,101.6488,0.9158118,2.666362,1.29203,26.31783,-26.31784,0.5292211,0.3786398,43.20679,0.03065079,6.184665,0.002551812,-0.02149443,0.02060561,-0.1674627,3000,0,0,0,0,0,0,0,0,0,0,56,-0.8398193,12.11685,-10.39418,-12.69475,-16.82179,-15.35513,-0.02058172,-0.02278376,0.3267035,0.4042319,0.3101481,0.3029394,0.3234967,5.831375,5.416157,28.61812,30.81423,28.12272,27.90374,28.52296
"2007-12-01 01:00:00",6685,-5.124905,-0.0115388,0.005003016,-5.110993,0.009664267,0.08646053,1.516209,0.2871722,0.01805547,-0.003828595,-0.003945747,806.6163,2.349283,-0.1298961,0.0002596519,4.721772E-005,5.562345,0.04022656,-0.002286033,-0.002335441,3.999042E-005,0.2318803,0.2120565,0.01274831,-0.007451369,-0.3510613,0.2711675,0.0005992169,-0.01304092,0.1292442,101.6487,0.7552462,2.63418,1.292805,56.55475,-56.55475,0.4978883,0.4207286,31.88704,4.721772E-005,0.09757662,4.028108E-005,-0.0116263,0.0003209736,-0.09289458,3000,0,0,0,0,0,0,0,0,0,0,56,-0.9482161,12.11376,-10.56741,-12.85935,-16.9835,-15.49106,-0.01945066,-0.02238464,0.3266871,0.4042328,0.3101372,0.3029051,0.3235292,5.811924,5.393772,28.61763,30.81425,28.12239,27.90269,28.52392
"2007-12-01 01:05:00",6686,-20.62189,0.05796875,3.465951,-20.76636,0.01268685,0.09905209,1.437717,0.3588667,-0.01791952,-0.01635186,-0.01587372,812.588,2.401191,-0.1207231,-0.1191771,0.1039621,5.588326,0.04565173,0.003398342,0.00214791,0.001569485,0.3751018,0.3845977,0.06194573,-0.00918303,-0.4486951,0.301843,0.003454545,-0.003604417,0.1689956,101.6573,0.7175143,2.651772,1.293083,50.10492,-50.10492,0.7104399,0.5848321,34.05882,0.1039621,3.829543,0.001592275,-0.04758563,0.01267867,-0.37627,3000,0,0,0,0,0,0,0,0,0,0,56,-1.063807,12.11086,-10.73496,-13.02418,-17.14761,-15.62356,-0.01861238,-0.02092505,0.3266586,0.4042317,0.3101054,0.3028679,0.3236255,5.793312,5.372847,28.61679,30.81422,28.12143,27.90155,28.52679
"2007-12-01 01:10:00",6687,-9.495269,-0.01033118,0.002826139,-9.468589,0.01981564,0.1238136,1.570933,0.3627738,0.04213291,-0.05213423,-0.007311602,811.532,2.810044,-0.3067905,0.3719226,0.01126646,5.593499,0.06577711,-0.004642631,0.008577646,7.206463E-005,0.5858583,0.3475618,-0.009693887,-0.005000086,-0.2630019,0.3514515,0.01449146,-0.02228392,0.2324854,101.6498,0.7943199,2.656798,1.292621,24.17613,-24.17615,0.7297899,0.6421838,28.06423,0.01126646,0.1758377,7.30425E-005,-0.02167068,0.0005834697,-0.173595,3000,0,0,0,0,0,0,0,0,0,0,56,-1.17904,12.1078,-10.89696,-13.18744,-17.30533,-15.75806,-0.02021599,-0.01986551,0.326627,0.4042239,0.3100159,0.3028314,0.3236316,5.773096,5.352982,28.61585,30.81401,28.11872,27.90044,28.52697
"2007-12-01 01:15:00",6688,-22.17224,0.06181775,4.028093,-22.34344,0.02935853,0.1507328,1.638303,0.3205831,0.03496181,-0.01129961,-0.0170792,811.2656,3.299437,-0.3094223,0.09750015,0.1111012,5.579918,0.04770723,-0.0007618863,0.004297419,0.001810969,0.8529122,0.4362089,0.03297715,-0.005313316,-0.07936826,0.3697465,0.02209037,0.07652584,0.2713809,101.6528,0.8984444,2.656732,1.292167,5.316382,-5.316376,0.9403495,0.8565971,24.17348,0.1111012,4.418764,0.001835585,-0.05111903,0.01466726,-0.4053375,3000,0,0,0,0,0,0,0,0,0,0,56,-1.28756,12.1045,-11.05865,-13.34998,-17.46525,-15.88654,-0.02125454,-0.02272797,0.3266017,0.40422,0.310002,0.3028037,0.3236474,5.751841,5.330254,28.6151,30.8139,28.1183,27.89959,28.52744
"2007-12-01 01:20:00",6689,-53.44725,0.2000952,8.692838,-53.81394,0.04054572,0.1771794,1.695933,0.3323221,0.03158328,-0.04225432,-0.0411892,812.1001,2.998184,-0.2864298,0.3592641,0.3193353,5.548722,0.03639662,-0.001215119,0.005747871,0.003947143,1.113255,0.4557833,0.04966548,-0.00274014,-0.2541732,0.4518211,0.03127272,-0.03039508,0.3002034,101.6492,1.017511,2.637292,1.291572,12.86105,-12.86105,1.235799,1.141902,22.32729,0.3193353,9.631029,0.004006702,-0.1232468,0.03174867,-0.9699397,3000,0,0,0,0,0,0,0,0,0,0,56,-1.38349,12.10178,-11.21802,-13.50783,-17.62166,-16.01592,-0.01946926,-0.02194786,0.3265827,0.4042117,0.3100444,0.3027674,0.323582,5.732372,5.308306,28.61454,30.81367,28.11959,27.89849,28.52549
"2007-12-01 01:25:00",6690,-37.71939,0.09430647,5.854855,-37.97636,0.03456783,0.1635846,1.540811,0.3003657,0.019139,-0.02846824,-0.0290639,814.7271,2.283033,-0.0578925,0.2282493,0.1788454,5.580359,0.03928205,-0.00123838,0.003428722,0.002673738,0.7935012,0.3766857,0.02531418,0.003135994,-0.1146662,0.3113346,0.02657553,0.001467833,0.2939124,101.6473,0.9660952,2.661203,1.291776,8.222697,-8.222687,0.8708254,0.8017434,22.81403,0.1788454,6.52392,0.002722481,-0.08726142,0.02169803,-0.6907631,3000,0,0,0,0,0,0,0,0,0,0,56,-1.456402,12.09861,-11.3723,-13.6672,-17.77661,-16.14408,-0.01724243,-0.01955366,0.3265543,0.4042092,0.310056,0.3027214,0.3235428,5.715129,5.288752,28.6137,30.81361,28.11994,27.89708,28.52433
