"TOA5","","CR5000","2079","2.1","CPU:JAN11.CR5","1241","flux"
"TIMESTAMP","RECORD","Fc_wpl","LE_wpl","Hs","Hc","tau","u_star","cov_Uz_Uz","cov_Uz_Ux","cov_Uz_Uy","cov_Uz_co2","cov_Uz_h2o","cov_Uz_Ts","cov_Ux_Ux","cov_Ux_Uy","cov_Ux_co2","cov_Ux_h2o","cov_Ux_Ts","cov_Uy_Uy","cov_Uy_co2","cov_Uy_h2o","cov_Uy_Ts","cov_co2_co2","cov_h2o_h2o","cov_Ts_Ts","Uz_Avg","Ux_Avg","Uy_Avg","co2_mean","h2o_Avg","Ts_mean","rho_a_mean","press_mean","panel_temp_Avg","wnd_dir_compass","wnd_dir_csat3","wnd_spd","rslt_wnd_spd","batt_volt_Avg","std_wnd_dir","n_Tot","csat_warnings","irga_warnings","del_T_f_Tot","sig_lck_f_Tot","amp_h_f_Tot","amp_l_f_Tot","chopper_f_Tot","detector_f_Tot","pll_f_Tot","sync_f_Tot","agc_Avg","Fc_irga","LE_irga","co2_wpl_LE","co2_wpl_H","h2o_wpl_LE","h2o_wpl_H","h2o_hmp_mean","t_hmp_mean"
"TS","RN","mg/(m^2 s)","W/m^2","W/m^2","W/m^2","kg/(m s^2)","m/s","(m/s)^2","(m/s)^2","(m/s)^2","mg/(m^2 s)","g/(m^2 s)","m C/s","(m/s)^2","(m/s)^2","mg/(m^2 s)","g/(m^2 s)","m C/s","(m/s)^2","mg/(m^2 s)","g/(m^2 s)","m C/s","(mg/m^3)^2","(g/m^3)^2","C^2","m/s","m/s","m/s","mg/m^3","g/m^3","C","kg/m^3","kPa","C","degrees","degrees","m/s","m/s","V","degrees","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","unitless","mg/(m^2 s)","W/m^2","mg/(m^2 s)","mg/(m^2 s)","W/m^2","W/m^2","g/m^3","C"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Smp","Avg","Smp","Smp","Smp","Avg","Smp","Smp","Smp","Smp","Avg","Smp","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2007-06-01 00:00:00",1845,0.2093809,14.14165,-18.92037,-19.70988,0.02042397,0.1327162,0.05319632,-0.01373125,0.01103137,0.2425252,0.006375191,-0.01624105,0.2016725,0.001612147,0.4300428,-0.02491246,0.0169569,0.1727633,-0.01414192,-0.006544448,0.01032118,25.02178,0.05399169,0.1163267,-0.05063009,0.3017229,-0.5803773,689.5468,14.75901,30.38121,1.159557,101.061,29.9629,62.53125,-62.53125,0.7958543,0.6541212,12.50011,34.18251,3000,0,0,0,0,0,0,0,0,0,0,60.53367,0.2425252,15.55547,0.006175277,-0.03931957,0.276557,-1.690374,12.65616,28.82891
"2007-06-01 00:05:00",1846,0.100892,8.025225,-9.922468,-10.37568,0.01321825,0.106777,0.02877003,-0.01099179,0.003028281,0.1180254,0.003584881,-0.008518778,0.06044327,-0.01225029,-0.3430474,-0.009469948,0.0165157,0.07535958,-0.09600347,-0.001744816,-0.001891818,12.21064,0.009545334,0.02627563,-0.07906751,0.2489148,-0.4624556,686.0696,14.89889,30.42934,1.159362,101.0603,29.66163,61.70882,-61.70883,0.5826234,0.5251892,12.49585,25.43174,3000,0,0,0,0,0,0,0,0,0,0,56,0.1180254,8.747109,0.003455083,-0.02058844,0.1536383,-0.8755229,12.50315,28.90149
"2007-06-01 00:10:00",1847,0.1208764,5.206721,-11.85466,-12.13334,0.01026024,0.09406801,0.02578677,-0.008623397,-0.001984465,0.1425617,0.002520855,-0.01017635,0.04283956,-0.02450545,-0.5254027,-0.01453212,0.02910921,0.0694824,0.6634921,0.01991268,-0.0349002,29.01139,0.02096855,0.0864742,0.006875417,0.1756998,-0.4337274,687.2099,14.96696,30.09347,1.159507,101.0649,29.38288,67.94749,-67.94748,0.5091082,0.4679635,12.49123,23.02697,3000,0,0,0,0,0,0,0,0,0,0,56,0.1425617,6.150886,0.002433483,-0.02411874,0.1087301,-1.052895,12.58407,28.86475
"2007-06-01 00:15:00",1848,0.08501852,6.334959,-9.440285,-9.795147,0.01494122,0.1134637,0.02812073,-0.004504541,-0.01206023,0.1018027,0.002892911,-0.008096351,0.09676325,0.00131035,-0.3944285,-0.01066184,0.0278122,0.104865,-0.2088985,0.0007937232,0.01933562,28.16088,0.01992636,0.09447329,-0.05574284,0.2869296,-0.6288782,691.3622,15.12788,29.96227,1.160573,101.081,29.11802,65.47485,-65.47485,0.7521889,0.6912427,12.4866,23.05658,3000,0,0,0,0,0,0,0,0,0,0,56,0.1018027,7.058702,0.002807335,-0.01959147,0.1263994,-0.850143,12.75753,28.61019
"2007-06-01 00:20:00",1849,0.2077912,11.9058,-8.397232,-9.099751,0.01360836,0.1082525,0.02963731,-0.008192106,0.008379458,0.2210583,0.00509894,-0.007197526,0.07211837,0.02820954,-0.4150589,-0.008952745,0.02938837,0.1070353,-0.5431935,-0.01311182,0.04393785,28.25916,0.01605576,0.08339779,-0.05906225,0.1460518,-0.4760518,691.9702,15.1695,29.98466,1.16126,101.0877,28.86261,72.94408,-72.94409,0.6071886,0.4979522,12.48197,34.35634,3000,0,0,0,0,0,0,0,0,0,0,56,0.2210583,12.44141,0.004949705,-0.01821684,0.223519,-0.7591279,12.80657,28.44487
"2007-06-01 00:25:00",1850,0.9371752,72.04903,-59.20365,-63.44513,0.01778267,0.12373,0.038101,-0.0005521951,0.01529915,1.03545,0.03119516,-0.05073153,0.08798522,-0.05454932,-0.3985185,-0.009365696,0.01647859,0.174844,2.508217,0.07660507,-0.09640075,190.2738,0.1814976,0.2872618,-0.04613975,0.1676278,-0.3679779,702.5727,15.41006,29.69519,1.161574,101.0878,28.61744,65.50893,-65.50894,0.5244702,0.4043598,12.47777,38.76277,3000,0,0,0,0,0,0,0,0,0,0,56,1.03545,76.11618,0.03074458,-0.1290196,1.394796,-5.461953,13.06302,28.32377
"2007-06-01 00:30:00",1851,0.5372078,36.82602,-31.71321,-33.86934,0.007970591,0.08280905,0.06281407,-0.006721168,-0.001359778,0.5906121,0.01600909,-0.02715701,0.1491938,0.03733644,-0.01607653,-0.01161118,-0.02388095,0.2177459,0.7023098,0.01890017,-0.06381483,130.672,0.09814321,0.1481522,-0.04478325,0.3528575,-0.08560367,706.2697,15.50129,29.50108,1.162345,101.0874,28.38408,13.63657,-13.63657,0.5863366,0.3630928,12.47423,49.98057,3000,0,0,0,0,0,0,0,0,0,0,56,0.5906121,39.06219,0.0158523,-0.06925659,0.7235061,-2.959679,13.21085,28.1008
"2007-06-01 00:35:00",1852,0.08606122,12.62018,-20.58937,-21.28045,0.01156463,0.09970552,0.05013673,0.005571653,0.008233102,0.1234145,0.00583523,-0.01761676,0.2364333,0.03204034,-3.207439,-0.0750962,0.09916844,0.08997227,0.02958621,0.003665146,-0.008365885,201.5155,0.1187152,0.2634008,0.02809059,0.5418302,0.1612271,699.4741,15.22767,29.33599,1.163305,101.087,28.1633,343.4291,16.57091,0.6698039,0.5653089,12.47466,31.9933,3000,0,0,0,0,0,0,0,0,0,0,56,0.1234145,14.23796,0.005716155,-0.04306947,0.2571984,-1.874976,12.8987,27.90186
